"","Entry","Name","Formula","Exact_Mass"
"118","C05665","3-Aminopropanal;","C3H7NO","73.0528"
"119","C15809","Iminoglycine;","C2H3NO2","73.0164"
"120","C18587","Methylisothiocyanate","C2H3NS","72.9986"
"121","C18706","Butylamine","C4H11N","73.0891"
"122","C15472","Germanium","Ge","73.9212"
"123","C12277","Calciumhydroxide","Ca(OH)2","73.9681"
"124","C00048","Glyoxylate;","C2H2O3","74.0004"
"125","C00163","Propanoate;","C3H6O2","74.0368"
"126","C00424","(S)-Lactaldehyde;","C3H6O2","74.0368"
"127","C00937","(R)-Lactaldehyde;","C3H6O2","74.0368"
"128","C00969","3-Hydroxypropanal","C3H6O2","74.0368"
"129","C00986","1,3-Diaminopropane;","C3H10N2","74.0844"
"130","C05235","Hydroxyacetone;","C3H6O2","74.0368"
"131","C05999","Lactaldehyde;","C3H6O2","74.0368"
"132","C06142","1-Butanol;","C4H10O","74.0732"
"133","C07447","Acetylhydrazine","C2H6N2O","74.048"
"134","C07964","Lithiumcarbonate","Li2CO3","74.0168"
"135","C08463","Triacetylene;","C6H2","74.0156"
"136","C10920","Glycidol","C3H6O2","74.0368"
"137","C13240","Ether;","C4H10O","74.0732"
"138","C14704","N-Nitrosodimethylamine;","C2H6N2O","74.048"
"139","C14710","Isobutylalcohol;","C4H10O","74.0732"
"140","C16363","N-Methylurea;","C2H6N2O","74.048"
"141","C17530","Methylacetate;","C3H6O2","74.0368"
"142","C18091","Ethylnitronate","C2H4NO2","74.0242"
"143","C20292","Tetramethylammonium;","C4H12N","74.097"
"144","C06269","Arsenic;","As","74.9216"
"145","C20296","Arsenic(V);","As","74.9216"
"146","C20298","Arsenic(III);","As","74.9216"
"147","C19360","Chloroacetonitrile","C2H2ClN","74.9876"
"148","C00037","Glycine;","C2H5NO2","75.032"
"149","C01104","TrimethylamineN-oxide;","C3H9NO","75.0684"
"150","C01837","Nitroethane","C2H5NO2","75.032"
"151","C02077","Semicarbazide;","CH5N3O","75.0433"
"152","C03194","(R)-1-Aminopropan-2-ol;","C3H9NO","75.0684"
"153","C05771","1-Aminopropan-2-ol;","C3H9NO","75.0684"
"154","C06808","Acetohydroxamicacid","C2H5NO2","75.032"
"155","C19302","Thioacetamide","C2H5NS","75.0143"
"156","C19445","Methylcarbamate","C2H5NO2","75.032"
"157","C19033","Carbondisulfide","CS2","75.9441"
"158","C00160","Glycolate;","C2H4O3","76.016"
"159","C00583","Propane-1,2-diol;","C3H8O2","76.0524"
"160","C01857","Thioacetate;","C2H4OS","75.9983"
"161","C02457","Propane-1,3-diol;","C3H8O2","76.0524"
"162","C02912","(R)-Propane-1,2-diol;","C3H8O2","76.0524"
"163","C02917","(S)-Propane-1,2-diol;","C3H8O2","76.0524"
"164","C07044","Hydroxyurea;","CH4N2O2","76.0273"
"165","C08390","Propane-1-thiol;","C3H8S","76.0347"
"166","C08391","Propane-2-thiol;","C3H8S","76.0347"
"167","C14415","Thiourea","CH4N2S","76.0095"
"168","C19316","Allylchloride","C3H5Cl","76.008"
"169","C01008","Trimethylsulfonium","C3H9S","77.0425"
"170","C01678","Cysteamine;","C2H7NS","77.0299"
"171","C03122","Haloaromaticcompound","C6H5X","77.0391"
"172","C18675","Fluoroacetamide","C2H4FNO","77.0277"
"173","C06754","Chloroacetaldehyde;","C2H3ClO","77.9872"
"174","C13391","Aluminumhydroxide","Al(OH)3","77.9898"
"175","C20303","Chloroethyleneoxide","C2H3ClO","77.9872"
"176","C00928","Mercaptoethanol;","C2H6OS","78.0139"
"177","C01407","Benzene","C6H6","78.047"
"178","C06108","Fluoroacetate;","C2H3FO2","78.0117"
"179","C11143","Dimethylsulfoxide;","C2H6OS","78.0139"
"180","C01324","Bromide;","Br","78.9183"
"181","C00747","Pyridine;","C5H5N","79.0422"
"182","C01529","Selenium","Se","79.9165"
"183","C12570","Zincoxide","ZnO","79.9241"
"184","C13409","Titaniumdioxide;","TiO2","79.9378"
"185","C13645","Hydrobromicacid;","HBr","79.9262"
"186","C19113","Calciumcarbimide","CaCN2","79.9687"
"187","C00396","Pyrimidine;","C4H4N2","80.0374"
"188","C06753","2-Chloroethanol;","C2H5ClO","80.0029"
"189","C19160","Chloromethylmethylether","C2H5ClO","80.0029"
"190","C11481","HSO3-;","HSO3","80.9646"
"191","C19067","Potassiumcyanate","KCNO","80.9617"
"192","C16933","3,6-Dihydropyridine","C5H7N","81.0578"
"193","C01528","Hydrogenselenide;","H2Se","81.9322"
"194","C00094","Sulfite;","H2SO3","81.9725"
"195","C06701","Phosphonicacid;","H3PO3","81.982"
"196","C07837","Fomepizole;","C4H6N2","82.0531"
"197","C19261","2-Methylimidazole","C4H6N2","82.0531"
"198","C19262","4-Methylimidazole","C4H6N2","82.0531"
"199","C05239","5-Aminoimidazole;","C3H5N3","83.0483"
"200","C06181","Piperideine;","C5H9N","83.0735"
"201","C20808","2-Methyl-1-pyrroline","C5H9N","83.0735"
"202","C02271","Dichloromethane;","CH2Cl2","83.9534"
"203","C01485","Chloricacid;","HClO3","83.9614"
"204","C12893","Magnesiumcarbonate;","MgCO3","83.9698"
"205","C12603","Sodiumbicarbonate;","NaHCO3","83.9823"
"206","C00557","Cyclopentanone","C5H8O","84.0575"
"207","C02648","4-Hydroxy-2-butynal;","C4H4O2","84.0211"
"208","C06144","3-Butynoate;","C4H4O2","84.0211"
"209","C06178","1-Methylpyrrolinium;","C5H10N","84.0813"
"210","C06195","Imidazolone;","C3H4N2O","84.0324"
"211","C07330","3-Methyl-2-butenal;","C5H8O","84.0575"
"212","C11249","Cyclohexane","C6H12","84.0939"
"213","C11261","Amitrole;","C2H4N4","84.0436"
"214","C17601","2(5H)-Furanone;","C4H4O2","84.0211"
"215","C17602","2(3H)-Furanone;","C4H4O2","84.0211"
"216","C20382","Imidazol-2-one;","C3H4N2O","84.0324"
"217","C17061","Rubidiumcation;","Rb","84.9118"
"218","C01746","Piperidine;","C5H11N","85.0891"
"219","C02659","Acetonecyanohydrin;","C4H7NO","85.0528"
"220","C20809","(R)-2-Methylpyrrolidine","C5H11N","85.0891"
"221","C20891","Isoxazolin-5-one;","C3H3NO2","85.0164"
"222","C19361","Chlorodifluoromethane","CHClF2","85.9735"
"223","C00741","Diacetyl;","C4H6O2","86.0368"
"224","C01390","Prenol;","C5H10O","86.0732"
"225","C01770","gamma-Butyrolactone;","C4H6O2","86.0368"
"226","C01771","2-Butenoate;","C4H6O2","86.0368"
"227","C01949","Pentan-2-one;","C5H10O","86.0732"
"228","C02020","Cyclopentanol;","C5H10O","86.0732"
"229","C02223","2-Methylbutanal;","C5H10O","86.0732"
"230","C02497","2-Butyne-1,4-diol;","C4H6O2","86.0368"
"231","C07329","3-Methylbutanal;","C5H10O","86.0732"
"232","C07973","Piperazine;","C4H10N2","86.0844"
"233","C11271","n-Hexane;","C6H14","86.1096"
"234","C16267","Cyclopropanecarboxylate","C4H6O2","86.0368"
"235","C16835","Succinicaldehyde;","C4H6O2","86.0368"
"236","C19201","beta-Butyrolactone","C4H6O2","86.0368"
"237","C19282","N-Nitrosomethylvinylamine","C3H6N2O","86.048"
"238","C19309","Vinylacetate","C4H6O2","86.0368"
"239","C19443","Methylacrylate","C4H6O2","86.0368"
"240","C00555","4-Aminobutyraldehyde;","C4H9NO","87.0684"
"241","C02218","Dehydroalanine;","C3H5NO2","87.032"
"242","C02640","3-Methylbutanamine;","C5H13N","87.1048"
"243","C03219","(E)-2-Methylpropanaloxime;","C4H9NO","87.0684"
"244","C06695","2-Oxazolidinone","C3H5NO2","87.032"
"245","C14452","Morpholine;","C4H9NO","87.0684"
"246","C19332","2-(1-Aziridinyl)ethanol;","C4H9NO","87.0684"
"247","C20253","Aminoacrylate;","C3H5NO2","87.032"
"248","C20315","(Z)-2-Methylpropanaloxime","C4H9NO","87.0684"
"249","C20339","N,N-Dimethylacetamide","C4H9NO","87.0684"
"250","C20904","2-Iminopropanoate","C3H5NO2","87.032"
"251","C13884","Strontiumcation;","Sr","87.9056"
"252","C00022","Pyruvate;","C3H4O3","88.016"
"253","C00134","Putrescine;","C4H12N2","88.1"
"254","C00222","3-Oxopropanoate;","C3H4O3","88.016"
"255","C00246","Butanoicacid;","C4H8O2","88.0524"
"256","C00466","Acetoin;","C4H8O2","88.0524"
"257","C00810","(R)-Acetoin;","C4H8O2","88.0524"
"258","C00849","Ethylacetate","C4H8O2","88.0524"
"259","C01769","(S)-Acetoin;","C4H8O2","88.0524"
"260","C02632","2-Methylpropanoate;","C4H8O2","88.0524"
"261","C07328","3-Methylbutanol;","C5H12O","88.0888"
"262","C11344","Methyltert-butylether;","C5H12O","88.0888"
"263","C12069","3-Hydroxypropenoate","C3H4O3","88.016"
"264","C14440","1,4-Dioxane;","C4H8O2","88.0524"
"265","C16364","N,N'-Dimethylurea;","C3H8N2O","88.0637"
"266","C16834","1-Pentanol","C5H12O","88.0888"
"267","C19208","Chloroprene;","C4H5Cl","88.008"
"268","C19227","1,2-Diethylhydrazine","C4H12N2","88.1"
"269","C19281","N-Nitrosomethylethylamine","C3H8N2O","88.0637"
"270","C19779","beta-Alaninamide;","C3H8N2O","88.0637"
"271","C20363","Ethylenecarbonate;","C3H4O3","88.016"
"272","C00041","L-Alanine;","C3H7NO2","89.0477"
"273","C00099","beta-Alanine;","C3H7NO2","89.0477"
"274","C00133","D-Alanine;","C3H7NO2","89.0477"
"275","C00213","Sarcosine;","C3H7NO2","89.0477"
"276","C01401","Alanine;","C3H7NO2","89.0477"
"277","C01444","Oxamate;","C2H3NO3","89.0113"
"278","C01537","Urethane;","C3H7NO2","89.0477"
"279","C02116","2-Nitropropane","C3H7NO2","89.0477"
"280","C06383","N-(Aminomethyl)urea","C2H7N3O","89.0589"
"281","C11488","HMMF;","C3H7NO2","89.0477"
"282","C19523","Sodiumchlorite;","NaClO2","89.9485"
"283","C06613","trans-3-Chloroallylaldehyde;","C3H3ClO","89.9872"
"284","C16348","cis-3-Chloroallylaldehyde;","C3H3ClO","89.9872"
"285","C00184","Glycerone;","C3H6O3","90.0317"
"286","C00186","(S)-Lactate;","C3H6O3","90.0317"
"287","C00209","Oxalate;","C2H2O4","89.9953"
"288","C00256","(R)-Lactate;","C3H6O3","90.0317"
"289","C00577","D-Glyceraldehyde","C3H6O3","90.0317"
"290","C01013","3-Hydroxypropanoate;","C3H6O3","90.0317"
"291","C01432","Lactate;","C3H6O3","90.0317"
"292","C02154","Glyceraldehyde;","C3H6O3","90.0317"
"293","C02272","Diethylsulfide;","C4H10S","90.0503"
"294","C02390","Methylazoxymethanol;","C2H6N2O2","90.0429"
"295","C02426","L-Glyceraldehyde;","C3H6O3","90.0317"
"296","C03044","(R,R)-Butane-2,3-diol;","C4H10O2","90.0681"
"297","C03046","(S,S)-Butane-2,3-diol;","C4H10O2","90.0681"
"298","C06384","N-(Hydroxymethyl)urea","C2H6N2O2","90.0429"
"299","C08389","PropanethialS-oxide;","C3H6OS","90.0139"
"300","C14687","2-Ethoxyethanol","C4H10O2","90.0681"
"301","C19206","1-Chloro-2-methylpropene;","C4H7Cl","90.0236"
"302","C19363","3-Chloro-2-methylpropene","C4H7Cl","90.0236"
"303","C20301","alpha-Hydroxy-NDMA;","C2H6N2O2","90.0429"
"304","C20335","1,3-Butanediol;","C4H10O2","90.0681"
"305","C20657","meso-2,3-Butanediol","C4H10O2","90.0681"
"306","C06057","3-Aminopropane-1,2-diol;","C3H9NO2","91.0633"
"307","C02086","Thioglycolate;","C2H4O2S","91.9932"
"308","C00116","Glycerol;","C3H8O3","92.0473"
"309","C01455","Toluene;","C7H8","92.0626"
"310","C06611","trans-3-Chloro-2-propene-1-ol;","C3H5ClO","92.0029"
"311","C06612","cis-3-Chloro-2-propene-1-ol;","C3H5ClO","92.0029"
"312","C14449","Epichlorohydrin;","C3H5ClO","92.0029"
"313","C00292","Aniline;","C6H7N","93.0578"
"314","C14447","2-Methylpyridine;","C6H7N","93.0578"
"315","C07755","Magnesiumchloride;","MgCl2","93.9227"
"316","C11089","Dichloroacetylene","C2Cl2","93.9377"
"317","C18447","Methylbromide","CH3Br","93.9418"
"318","C06755","Chloroaceticacid;","C2H3ClO2","93.9822"
"319","C08371","Dimethyldisulfide;","C2H6S2","93.9911"
"320","C00146","Phenol;","C6H6O","94.0419"
"321","C01782","Areneoxide","C6H6O","94.0419"
"322","C02724","N-Methylpyridinium","C6H8N","94.0657"
"323","C11142","Dimethylsulfone;","C2H6O2S","94.0089"
"324","C13728","4-Aminopyridine;","C5H6N2","94.0531"
"325","C15584","Phenol","C6H6O","94.0419"
"326","C02502","2-Hydroxypyridine;","C5H5NO","95.0371"
"327","C05703","Methaneselenol;","CH4Se","95.9478"
"328","C06791","trans-1,2-Dichloroethene;","C2H2Cl2","95.9534"
"329","C06792","cis-1,2-Dichloroethene;","C2H2Cl2","95.9534"
"330","C14039","1,1-Dichloroethylene;","C2H2Cl2","95.9534"
"331","C11145","Methanesulfonicacid;","CH4SO3","95.9881"
"332","C02395","Cyclohex-2-enone;","C6H8O","96.0575"
"333","C07090","Protoanemonin;","C5H4O2","96.0211"
"334","C11272","Fluorobenzene","C6H5F","96.0375"
"335","C14279","Furfural;","C5H4O2","96.0211"
"336","C19249","2,4-Hexadienal;","C6H8O","96.0575"
"337","C20396","Methylphosphonate","CH5O3P","95.9976"
"338","C18712","Copperhydroxide","Cu(OH)2","96.9351"
"339","C02306","Phosphoramidate;","H2PO3NH2","96.9929"
"340","C02026","Deoxycytosine;","C4H7N3","97.064"
"341","C07272","Maleimide;","C4H3NO2","97.0164"
"342","C00150","Molybdenum","Mo","97.9054"
"343","C00059","Sulfate;","H2SO4","97.9674"
"344","C06752","1,2-Dichloroethane;","C2H4Cl2","97.969"
"345","C18247","1,1-Dichloroethane","C2H4Cl2","97.969"
"346","C00009","Orthophosphate;","H3PO4","97.9769"
"347","C12554","Potassiumacetate","C2H3O2.K","97.977"
"348","C00414","Cyclohexanone","C6H10O","98.0732"
"349","C05562","1H-Imidazole-4-methanol;","C4H6N2O","98.048"
"350","C08497","(E)-2-Hexenal;","C6H10O","98.0732"
"351","C16310","3-Hexenal;","C6H10O","98.0732"
"352","C20441","Furfurylalcohol;","C5H6O2","98.0368"
"353","C20578","TulipalinA;","C5H6O2","98.0368"
"354","C20592","Moniliformin","C4H2O3","98.0004"
"355","C00571","Cyclohexylamine;","C6H13N","99.1048"
"356","C07273","Succinimide;","C4H5NO2","99.032"
"357","C11103","Hymexazol","C4H5NO2","99.032"
"358","C11118","N-Methyl-2-pyrrolidinone;","C5H9NO","99.0684"
"359","C18796","(2R)-2-Hydroxy-2-methylbutanenitrile;","C5H9NO","99.0684"
"360","C19317","Allylisothiocyanate;","C4H5NS","99.0143"
"361","C08129","Calciumcarbonate;","CaCO3","99.9473"
"362","C18606","Potassiumbicarbonate","KHCO3","99.9563"
"363","C18588","Sodiumfluoroacetate;","C2H2FO2.Na","99.9937"
"364","C19299","Tetrafluoroethylene","C2F4","99.9936"
"365","C00854","Cyclohexanol;","C6H12O","100.0888"
"366","C02240","5-Valerolactone;","C5H8O2","100.0524"
"367","C02373","4-Methylpentanal;","C6H12O","100.0888"
"368","C02893","Unsaturatedalcohol","C6H12O","100.0888"
"369","C05146","Hydantoin;","C3H4N2O2","100.0273"
"370","C08279","Tiglicacid;","C5H8O2","100.0524"
"371","C08305","Gyromitrin;","C4H8N2O","100.0637"
"372","C08492","3-Hexenol;","C6H12O","100.0888"
"373","C12518","Glutaral;","C5H8O2","100.0524"
"374","C14527","Methylmethacrylate;","C5H8O2","100.0524"
"375","C15499","Pentane-2,4-dione;","C5H8O2","100.0524"
"376","C19238","Ethylacrylate","C5H8O2","100.0524"
"377","C19263","Methylisobutylketone","C6H12O","100.0888"
"378","C19285","N-Nitrosopyrrolidine","C4H8N2O","100.0637"
"379","C19524","Succinicanhydride;","C4H4O3","100.016"
"380","C13557","Potassiumnitrate","KNO3","100.9515"
"381","C01234","1-Aminocyclopropane-1-carboxylate;","C4H7NO2","101.0477"
"382","C01842","Pentanamide;","C5H11NO","101.0841"
"383","C02926","Homoserinelactone;","C4H7NO2","101.0477"
"384","C03982","2-MethylpropanalO-methyloxime;","C5H11NO","101.0841"
"385","C07509","Diacetylmonoxime;","C4H7NO2","101.0477"
"386","C07672","Biguanide;","C2H7N5","101.0701"
"387","C08267","L-Azetidine2-carboxylicacid;","C4H7NO2","101.0477"
"388","C08306","Hexylamine;","C6H15N","101.1204"
"389","C10974","4-Methylaminobutanal","C5H11NO","101.0841"
"390","C11106","3-Oxobutanamide;","C4H7NO2","101.0477"
"391","C12455","5-Aminopentanal","C5H11NO","101.0841"
"392","C14691","Triethylamine;","C6H15N","101.1204"
"393","C17234","2-Aminobut-2-enoate;","C4H7NO2","101.0477"
"394","C17255","3-Methylbutyraldehydeoxime","C5H11NO","101.0841"
"395","C19456","N-Methylolacrylamide;","C4H7NO2","101.0477"
"396","C19491","(E)-2-Methylbutanaloxime","C5H11NO","101.0841"
"397","C19777","L-Homoserinelactone","C4H7NO2","101.0477"
"398","C20312","(Z)-2-Methylbutanaloxime","C5H11NO","101.0841"
"399","C20905","2-Iminobutanoate","C4H7NO2","101.0477"
"400","C13515","Rubidiumhydroxide","RbOH","101.9145"
"401","C00109","2-Oxobutanoate;","C4H6O3","102.0317"
"402","C00164","Acetoacetate;","C4H6O3","102.0317"
"403","C00232","Succinatesemialdehyde;","C4H6O3","102.0317"
"404","C00349","2-Methyl-3-oxopropanoate;","C4H6O3","102.0317"
"405","C00576","Betainealdehyde","C5H12NO","102.0919"
"406","C00803","Pentanoate;","C5H10O2","102.0681"
"407","C01672","Cadaverine;","C5H14N2","102.1157"
"408","C02718","N-Formiminoglycine;","C3H6N2O2","102.0429"
"409","C02723","N-Methylputrescine","C5H14N2","102.1157"
"410","C06002","(S)-Methylmalonatesemialdehyde","C4H6O3","102.0317"
"411","C06682","DL-Cycloserine","C3H6N2O2","102.0429"
"412","C08057","Cycloserine;","C3H6N2O2","102.0429"
"413","C08262","3-Methylbutanoicacid;","C5H10O2","102.0681"
"414","C14398","Ethylenethiourea;","C3H6N2S","102.0252"
"415","C14422","N-Nitrosodiethylamine;","C4H10N2O","102.0793"
"416","C18319","2-Methylbutyrate;","C5H10O2","102.0681"
"417","C00334","4-Aminobutanoate;","C4H9NO2","103.0633"
"418","C01026","N,N-Dimethylglycine;","C4H9NO2","103.0633"
"419","C01205","(R)-3-Amino-2-methylpropanoate;","C4H9NO2","103.0633"
"420","C02193","Pyruvateoxime","C3H5NO3","103.0269"
"421","C02261","D-2-Aminobutyrate;","C4H9NO2","103.0633"
"422","C02356","(S)-2-Aminobutanoate;","C4H9NO2","103.0633"
"423","C02721","N-Methyl-L-alanine","C4H9NO2","103.0633"
"424","C03284","L-3-Amino-isobutanoate;","C4H9NO2","103.0633"
"425","C03665","2-Amino-2-methylpropanoate;","C4H9NO2","103.0633"
"426","C05145","3-Aminoisobutyricacid;","C4H9NO2","103.0633"
"427","C06555","Biuret","C2H5N3O2","103.0382"
"428","C09814","Benzonitrile;","C7H5N","103.0422"
"429","C11109","HBA","C4H9NO2","103.0633"
"430","C11735","N-Ethylglycine","C4H9NO2","103.0633"
"431","C11822","2-Aminomalonatesemialdehyde;","C3H5NO3","103.0269"
"432","C14595","Methylnitrosourea;","C2H5N3O2","103.0382"
"433","C19514","n-Propylcarbamate","C4H9NO2","103.0633"
"434","C20249","(Z)-3-Peroxyaminoacrylate","C3H5NO3","103.0269"
"435","C00114","Choline;","C5H14NO","104.1075"
"436","C00168","Hydroxypyruvate;","C3H4O4","104.011"
"437","C00383","Malonate;","C3H4O4","104.011"
"438","C00989","4-Hydroxybutanoicacid;","C4H8O3","104.0473"
"439","C01010","Urea-1-carboxylate;","C2H4N2O3","104.0222"
"440","C01089","(R)-3-Hydroxybutanoate;","C4H8O3","104.0473"
"441","C01146","2-Hydroxy-3-oxopropanoate;","C3H4O4","104.011"
"442","C01188","3-Hydroxy-2-methylpropanoate;","C4H8O3","104.0473"
"443","C01991","4-Hydroxyacid;","C4H8O3","104.0473"
"444","C02221","2-Cyanopyridine","C6H4N2","104.0374"
"445","C02234","4-Cyanopyridine","C6H4N2","104.0374"
"446","C03197","(S)-3-Hydroxybutanoate","C4H8O3","104.0473"
"447","C03401","3-Amino-L-alanine;","C3H8N2O2","104.0586"
"448","C05984","2-Hydroxybutanoicacid;","C4H8O3","104.0473"
"449","C06001","(S)-3-Hydroxyisobutyrate","C4H8O3","104.0473"
"450","C06393","2,3-Diaminopropanoate;","C3H8N2O2","104.0586"
"451","C07083","Styrene;","C8H8","104.0626"
"452","C14601","Methylmethoxyacetate","C4H8O3","104.0473"
"453","C00065","L-Serine;","C3H7NO3","105.0426"
"454","C00716","Serine;","C3H7NO3","105.0426"
"455","C00740","D-Serine","C3H7NO3","105.0426"
"456","C02018","Cyanopyrazine;","C5H3N3","105.0327"
"457","C03354","3-Methylthiopropanamine;","C4H11NS","105.0612"
"458","C06772","Diethanolamine","C4H11NO2","105.079"
"459","C11260","2-Amino-2-methyl-1,3-propandiol;","C4H11NO2","105.079"
"460","C20284","Benzenediazonium;","C6H5N2","105.0453"
